,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
1247,reputation,3,697,37589992,43870,1,1000,717214,11,3529
1293,reputation,0,6,34606603,5342,0,740,395974,20,858
1295,reputation,1,190,31490566,6007,0,305,1994081,19,736
1332,reputation,2,90,35452455,22374,0,862,138557,13,2327
1333,reputation,0,90,37390009,22374,0,862,138557,17,2327
1334,reputation,3,90,31924965,22374,1,862,138557,18,2327
1368,reputation,0,19,35020807,7901,0,462,427292,19,926
1407,reputation,1,30,32247565,18700,0,3498,774183,18,1414
1408,reputation,1,30,32513370,18700,0,3498,774183,15,1414
1409,reputation,4,30,32968098,18700,0,3498,774183,18,1414
1410,reputation,0,30,37642843,18700,0,3498,774183,19,1414
1439,reputation,2,38,30823549,10273,0,611,997112,18,1477
1440,reputation,0,38,37229320,10273,0,611,997112,14,1477
1441,reputation,1,38,33766510,10273,0,611,997112,18,1477
1442,reputation,0,38,33599188,10273,0,611,997112,16,1477
1443,reputation,6,38,37579834,10273,0,611,997112,15,1477
1444,reputation,0,38,31214704,10273,0,611,997112,16,1477
1445,reputation,0,38,23717224,10273,1,611,997112,18,1477
1447,reputation,0,109,26266164,8055,0,294,1519458,14,564
1448,reputation,0,109,35725923,8055,0,294,1519458,10,564
1449,reputation,3,109,37677823,8055,0,294,1519458,12,564
1450,reputation,0,109,34050513,8055,0,294,1519458,18,564
1451,reputation,5,109,37181994,8055,-2,294,1519458,19,564
1452,reputation,0,109,36649994,8055,0,294,1519458,8,564
1453,reputation,0,109,37674889,8055,0,294,1519458,15,564
13,views,4,10078,36239904,14904,2,10334,472495,20,25765
14,views,1,10078,33599405,14904,0,10334,472495,13,25765
21,views,0,3,37377764,12018,0,3831,1502079,14,1483
22,views,0,3,37631286,12018,0,3831,1502079,18,1483
87,views,0,30,30904204,11730,0,1017,373962,13,920
92,views,0,50,36448739,24856,2,1539,90998,18,3104
94,views,1,20,35337489,1506,0,1121,1255427,17,27995
95,views,2,20,36966678,1506,0,1121,1255427,12,27995
